EventId,EventTemplate,Occurrences
86,"<*> <*> <*> [<*>] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <*> <*> <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> <*> <*> isProcessing=NO <*> <*> <*> <*> <*> <*> actionQueue=( ) > delegate=(null) <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> <*> >",1
87,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>>.,20
88,Error returned from iconservicesagent: (<*>),13
89,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*> error <*>,8
90,"SecOSStatusWith error:[<*>] Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",5
91,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,26
92,WARNING: Type1 font data isn't in the correct format required by the Adobe Type 1 Font Format specification.,1
93,"com.apple.ical.sync.x-coredata://<*>/CalDAVPrincipal/p<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",1
94,"device_generate_desktop_screenshot: authw <*>(<*>), shield <*>(<*>)",3
95,[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-<*>].],5
96,"NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*>, fLastRetryTimestamp, <*>",17
97,Previous sleep cause: <*>,15
98,Wake reason: RTC (Alarm),5
99,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*>,15
100,network changed: v4(<*>) v6(<*>) DNS! Proxy SMB,7
101,hibernate_page_list_setall found pageCount <*>,2
102,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,2
103,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>,1
104,"<*> <*> <*> [<*>] -[KSAgentApp updateProductWithProductID:usingEngine:] Checking for updates for ""com.google.Keystone"" using engine <*> <*> <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> <*> <*> isProcessing=NO <*> <*> <*> <*> <*> <*> actionQueue=( ) > delegate=(null) <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> <*> >",1
105,<*> <*> | I | VoipWrapper | <*>       | close video chat. llFriendUIN = <*>,4
106,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: <*>, 'ExternalConnected': No, 'TimeRemaining': <*>",7
107,Bluetooth -- LE is supported - Disable LE meta event,11
108,<*> : Discoverable mode changed to Off,2
109,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,18
110,Captive: CNPluginHandler <*>: Authenticated,7
111,ARPT: <*>: wl0: setup_keepalive: Local IP: <*>,4
112,TBT W (<*>): <*> [x],4
113,network changed: DNS* Proxy,3
114,ASL Sender Statistics,9
115,<*> <*> <*> [<*>] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched '/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/ksfetch' with process id: <*>,1
116,"<*> <*> <*> [<*>] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'com.google.Keystone'.",2
117,<*> <*> <*> [<*>] main() ksfetch fetching URL (<NSMutableURLRequest: <*> { URL: <*> }) to <*>,2
118,"Path not allowed in target domain: type = pid, path = <*> error = <*>: The specified service did not ship in the requestor's bundle, origin = <*>",15
119,[<*>:<*>:<*>] <<<< IQ-CA >>>> piqca_setUsePreQueue: (<*>) rejecting report of layer being serviced - IQ has not yet begun to update,4
120,[<*>:<*>:<*>] itemasync_SetProperty signalled err=<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*>,5
121,KeychainGetICDPStatus: keychain: <*>,14
122,host connection <NSXPCConnection: <*>> connection from pid <*>,1
123,Error in CoreDragRemoveReceiveHandler: <*>,1
124,ARPT: <*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,9
125,"ARPT: <*>: IOPMPowerSource Information: onWake, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,",3
126,Captive: CNPluginHandler <*>: Inactive,4
127,in6_unlink_ifa: IPv6 address <*> has no prefix,9
128,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}",2
129,"device_generate_lock_screen_screenshot: authw <*>(<*>)[<*>, <*>, <*>, <*>] shield <*>",3
130,<*> <*> <*> [<*>] KSHelperReceiveAllData() KSHelperTool read <*> bytes from stdin.,3
131,[<*>:<*>:<*>] FigAgglomeratorSetObjectForKey signalled err=<*> (kFigStringConformerError_ParamErr) (NULL key) at <*>,11
132,<*> : BTLE scanner Powered Off,4
133,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}",3
134,ARPT: <*>: AQM agg params <*> maxlen hi/lo <*> <*> minlen <*> adjlen <*>,7
135,Received Capture Event,15
136,Sandbox: QQ(<*>) deny(<*>) mach-lookup <*>,3
137,[<*>:<*>:<*>] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,23
138,sigio_handler: sigio_handler_active != <*>,5
139,############################## _getSysMsgList,10
140,"Configuration Notice: ASL Module ""<*> claims selected messages. Those messages may not appear in standard system log files or in the ASL database.",2
141,Wake reason: ?,2
142,<*> : Scanning mode Contacts Only,7
143,<*> : BTLE scanning stopped,2
144,wake time set +<*> s,1
145,[HID] [MT] MTActuatorManagement::getActuatorRef Calling MTActuatorOpen() outside of MTTrackpadHIDManager.,1
146,wake time set <*>,2
147,AppleCamIn::handleWakeEvent_gated,15
148,<*> : Purged contact hashes,2
149,<*> : BTLE scanning started,2
150,"IOPMrootDomain: idle cancel, state <*>",3
151,ARPT: <*>: ARPT: Wake Reason: Wake on TCP Timeout,2
152,"hibernate_alloc_pages act <*>, inact <*>, anon <*>, throt <*>, spec <*>, wire <*>, wireinit <*>",2
153,hibernate_teardown_pmap_structs done: last_valid_compact_indx <*>,2
154,enabling pid=<*> for plug-in <*>,1
155,"<*> <*> <*> [<*>] -[KSAgentApp performSelfUpdateWithEngine:] Checking for self update with Engine: <*> <*> <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> <*> <*> isProcessing=NO <*> <*> <*> <*> <*> <*> actionQueue=( ) > delegate=(null) <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> <*> >",1
156,<*> <*> <*> [<*>] -[KSOmahaServer updateInfosForUpdateResponse:updateRequest:infoStore:upToDateTickets:updatedTickets:events:errors:] Response passed CUP validation.,1
157,[<*>:<*>:<*>] itemasync_CopyProperty signalled err=<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*>,4
158,Opened file <*>,3
159,"NETWORK: no response from server, reachability, <*>, queryRetries, <*>",4
160,"Unexpected payload found for message <*>, dataLen <*>",2
161,CCFile::captureLog,17
162,en0: Supported channels <*>,4
163,ARPT: <*>: AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,12
164,Internal name did not resolve to internal address!,1
165,Service exited with abnormal code: <*>,1
166,Central manager is not powered on,1
167,"CCFile::captureLogRun Skipping current file Dir file [<*>]-CCIOReporter-<*>.xml, Current File [<*>]-CCIOReporter-<*>.xml",11
168,ARPT: <*>: framerdy <*> bmccmd <*> framecnt <*>,8
169,<*>:  DND Enabled: <*>,3
170,<*> : Starting AirDrop server for user <*> on wake,2
171,ARPT: <*>: wl0: setup_keepalive: Remote IP: <*>,8
172,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> <*>. to complete, <*> reads >= <*> sec.",3
173,network changed: v4(<*>) v6(<*>) DNS Proxy SMB,1
174,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,9
175,"CCLogTap::profileRemoved, Owner: <*>, Name: OneStats",1
176,"CCFile::captureLogRun Skipping current file Dir file [<*>]-AirPortBrcm4360_Logs-<*>.txt, Current File [<*>]-AirPortBrcm4360_Logs-<*>.txt",16
177,"CCFile::captureLogRun Skipping current file Dir file [<*>]-io80211Family-<*>.pcapng, Current File [<*>]-io80211Family-<*>.pcapng",4
178,network changed: <*> DNS- Proxy-,2
179,"CCFile::copyFile fileName is [<*>]-<*>-<*>.<*>, source path:<*>",21
180,ARPT: <*>: wlc_dump_aggfifo:,6
181,[<*>:<*>:<*>] <<<< CRABS >>>> crabsFlumeHostUnavailable: [<*>] Byte flume reports host unavailable.,2
182,doSaveChannels@<*>: Will write to: <*>,6
183,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [<*>] Network is unreachable,1
184,__<*>-[NETClientConnection evaluateCrazyIvan<*>]_block_invoke CI<*> - Hit by torpedo! NeteaseMusic.<*> tc<*> <*>.<*>.<*>.<*>:<*>,1
185,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:<*>] Error Domain=NSURLErrorDomain Code=<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}",1
186,hibernate image path: <*>,2
187,hibernate_flush_memory: buffer_cache_gc freed up <*> wired pages,2
188,"hibernate_machine_init pagesDone <*> sum2 <*> time: <*> ms, disk(<*>) <*> Mb/s, comp bytes: <*> time: <*> ms <*> Mb/s, crypt bytes: <*> time: <*> ms <*> Mb/s",2
189,ASSERTION FAILED: dvcAddrRef != ((void *)<*>) -[DriverServices getDeviceAddress:] line: <*>,4
190,hibernate_machine_init reading,2
191,assertion failed: <*>: com.apple.telemetry + <*> [10D2E324-<*>-30CC-<*>-55AE67AEC7BC]: <*>,3
192,jemmytest,10
193,hibernate_setup(<*>) took <*>,2
194,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- calling IOBluetoothFamily's registerService() -- <*> -- <*> -- <*> ****,2
195,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- Connected to the transport successfully -- <*> -- <*> -- <*> ****,1
196,hciControllerOnline; HID devices? <*>,1
197,INIT -- Host controller is published,2
198,"polled file major <*>, minor <*>, blocksize <*>, pollers <*>",3
199,BuildActDeviceEntry exit,2
200,Wake reason: ARPT (Network),3
201,AppleActuatorHIDEventDriver: message service is terminated,1
202,"CCFile::captureLog Received Capture notice id: <*>, reason = DeauthInd:sts:<*>_rsn:<*>",1
203,payload Data <*>,1
204,WARNING: hibernate_page_list_setall skipped <*> xpmapped pages,2
205,"hibernate_teardown: wired_pages <*>, free_pages <*>, active_pages <*>, inactive_pages <*>, speculative_pages <*>, cleaned_pages <*>, compressor_pages <*>",1
206,[BluetoothHIDDeviceController] EventServiceConnectedCallback,2
207,hibernate_rebuild_pmap_structs done: last_valid_compact_indx <*>,1
208,BuildActDeviceEntry enter,2
209,(ImportBailout.Error:<*>) Asked to exit for Diskarb,1
210,<*> <*> <*> [<*>] -[KSUpdateCheckAction performAction] KSUpdateCheckAction starting update check for ticket(s): {( <*> productID=com.google.Keystone <*> <*> path=/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle> <*> <*> <*> <*> > )} Using server: <*> <*> >,1
211,KeychainGetICDPStatus: status: off,8
212,ARPT: <*>: AirPort_Brcm43xx::powerChange: System Sleep,17
213,tcp_connection_tls_session_error_callback_imp <*> error <*>,1
214,"com.apple.SoftwareUpdate.Activity: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",10
215,Checking iCDP status for DSID <*> (checkWithServer=<*>),1
216,network changed: v4(<*>) v6(<*>) DNS- Proxy-,1
217,network changed: DNS*,1
218,"<*> <*> <*> [<*>] +[KSCodeSigningVerification verifyBundle:applicationId:error:] KSCodeSigningVerification verifying code signing for '/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/GoogleSoftwareUpdateDaemon' with the requirement 'anchor apple generic and certificate <*> exists and certificate <*> exists and certificate <*> and (identifier=""com.google.Keystone"")'",1
219,<*> <*> <*> [<*>] main() ksfetch done fetching.,1
220,network changed: v4(<*>:<*>) DNS+ Proxy+ SMB,1
221,-[SOAPParser:<*> parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),4
222,"CCFile::captureLog Received Capture notice id: <*>, reason = AssocFail:sts:<*>_rsn:<*>",3
223,"CCLogTap::profileRemoved, Owner: <*>, Name: IO80211AWDLPeerManager",2
224,extension <*> -> (null),1
225,"[Accounts] Current connection, <*> connection from pid <*>",2
226,"[Accounts] Failed to update account with identifier <*>, error: Error Domain=ABAddressBookErrorDomain Code=<*> ""(null)""",2
227,Session <*> created,1
228,<*> <*> <*> [<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: <*>,3
229,kern_open_file_for_direct_io took <*>,1
230,CGXDisplayDidWakeNotification [<*>]: posting kCGSDisplayDidWake,3
231,Peripheral manager is not powered on,3
232,"PM response took <*> (<*>, WeChat)",1
233,Cocoa scripting error for '<*>': four character codes must be four characters long.,71
234,.sdef warning for argument '' of command '<*>' in suite '<*>': '<*>' is not a valid type name.,1
235,objc[<*>]: Class TSUAtomicLRUCache is implemented in both <*> and <*>. One of the two will be used. Which one is undefined.,1
236,Invalidating watch set.,1
237,objc[<*>]: Class TSUCustomFormatData is implemented in both <*> and <*>. One of the two will be used. Which one is undefined.,1
238,<*> : Started generating hashes,1
239,-_continuousScroll is deprecated for NSScrollWheel. Please use -hasPreciseScrollingDeltas.,1
240,-deviceDeltaY is deprecated for NSScrollWheel. Please use -scrollingDeltaY.,1
241,[<*>] (Fig) signalled err=<*>,1
242,[<*>] <<<< CRABS >>>> crabsWaitForLoad: [<*>] Wait time out - <*> (msRequestTimeout <*>),1
243,Failed to stop a scan - central is not powered on: <*>,1
244,Wake reason: EC.SleepTimer (SleepTimer),1
245,**** [BroadcomBluetoothHostControllerUSBTransport][start] -- Completed (matched on Device) -- <*> ****,3
246,"hibernate_newruntime_map time: <*> ms, IOPolledFilePollersOpen(), ml_get_interrupts_enabled <*>",2
247,vm_compressor_fastwake_warmup (<*> - <*>) - starting,1
248,"<*>: Updating enabled: YES  (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ))",1
249,<*> <*> <*> [<*>] main() Fetcher received a request: <NSMutableURLRequest: <*> { URL: <*> },1
250,<*> <*> <*> [<*>] -[KSPrefetchAction performAction] KSPrefetchAction no updates to prefetch.,1
251,<*>: notification observer: <*>  notification: <*>,1
252,CCProfileMonitor::freeResources done,1
253,<*>:  NC Disabled: NO,5
254,Daemon connection invalidated!,1
255,"ARPT: <*>: IOPMPowerSource Information: onWake, SleepType: Normal Sleep, 'ExternalConnected': No, 'TimeRemaining': <*>",2
256,IOHibernatePollerOpen(<*>),2
257,"hibernate_machine_init: state <*>, image pages <*>, sum was <*>, imageSize <*>, image1Size <*>, conflictCount <*>, nextFree <*>",1
258,hibernate_rebuild completed - took <*> msecs,1
259,AppleActuatorDevice::stop Entered,1
260,AppleActuatorDevice::start Entered,1
261,"bitmap_size <*>, previewSize <*>, writing <*> pages @ <*>",2
262,"CCFile::captureLog Received Capture notice id: <*>, reason = RoamFail:sts:<*>_rsn:<*>",1
263,en0: manual intervention required!,1
264,"DB Error: <*> ""no such table: tb_c2cMsg_<*>",3
265,<*> <*> <*> [<*>] -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher <*> <*>from URL: <*>,3
266,<*>: Updating enabled: <*>  (Topics: ( )),1
267,"arp_client_transmit(<*>) failed, Network is down (<*>)",1
268,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! QQ.<*> tc<*> <*>.<*>.<*>.<*>:<*>,4
269,-[NETClientConnection effectiveBundleID] using process name CalendarAgent as bundle ID (this is expected for daemons without bundle ID,4
270,could discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,2
271,"booter start at <*> ms smc <*> ms, [<*>, <*>, <*>] total <*> ms, dsply <*>, <*> ms, tramp <*> ms",1
272,"hostControllerOnline - Number of Paired devices = <*>, List of Paired devices = ( ""<*>-<*>-<*>-<*>-db-e1"" )",1
273,**** [BroadcomBluetoothHostController][SetupController] -- Delay HCI Reset by <*>ms ****,1
274,AppleActuatorHIDEventDriver: stop,2
275,**** [IOBluetoothHostControllerUSBTransport][start] -- completed -- result = TRUE -- <*> ****,2
276,AppleActuatorDeviceUserClient::start Entered,1
277,<*> <*> <*> [<*>] main() Fetcher is exiting.,1
278,"Google Chrome He[<*>] triggered unnest of range <*> of DYLD shared region in VM map <*>. While not abnormal for debuggers, this increases system memory footprint until the target exits.",1
279,hibernate_page_list_setall(preflight <*>) start,1
280,hibernate_page_list_setall time: <*>,1
281,IOPolledFilePollersOpen(<*>) <*> ms,1
282,hibernate_teardown completed - discarded <*>,1
283,AppleActuatorDeviceUserClient::stop Entered,1
284,[IOBluetoothHostController::setConfigState] calling registerService,1
285,[HID] [MT] AppleMultitouchDevice::start entered,1
286,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:<*>] Error Domain=NSURLErrorDomain Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}",1
